domain,company_name,person_company_name,company_key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,company_sources,first_seen,person_name,title,linkedin_url,person_key_label,location,status,person_sources
badoo.com,Badoo,,accept,United Kingdom,London,75,,30000000,,,"A pioneer in modern dating since 2006, with one of the world's largest and most geographically diverse communities, Badoo is a freemium service, which offers additional premium subscriptions to members.","UK dating app, freemium self-serve age-gated platform, $30M funding fits band, not excluded category.",eval_base20b;eval_strict20;eval_words20,2026-09-05T06:46:32.957951+05:30,,,,,,,
bethog.com,Sentient Studios,Sentient Studios,accept,,,,,,,,,,eval_basep;eval_domainp;eval_or20;eval_profilep;eval_sizep;eval_sizep2,2026-09-05T07:00:09.905598+05:30,Cameron Boal,Chief Marketing Officer,https://linkedin.com/in/camboal,accept,"United Kingdom, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
bitmama.io,Bitmama,,accept,United States,Claymont,11,6500000,2556000,2016,,"Bitmama is a crypto-fiat exchange that allows traders to buy and sell Bitcoin, Ethereum, Celo and other digital assets.","US crypto-fiat exchange for consumers, revenue $6.5M and funding $2.56M both within qualifying bands.",eval_angles20,2026-09-05T07:43:14.371898+05:30,,,,,,,
bitok.com,Bitok Ltd,,accept,United Kingdom,West End,1,5538235,,,,"Bitok is a UK based cryptocurrency exchange that facilitates trading in Bitcoin, Litecoin, Dogecoin and 30 more cryptocurrencies.",UK crypto exchange with consumer self-serve trading; revenue $5.5M fits band; not excluded category.,eval_angles20;eval_or20,2026-09-05T07:43:14.371898+05:30,,,,,,,
blocpal.com,BlocPal,,accept,Canada,Vancouver,10,,26635115,2017,,"We are a Canadian fintech building a robust neo banking platform powered by AI, cloud computing and blockchain to transform how people all over the world access financial services. Our technology stack is continually evolving to reimagine the possibilities of how people transact, invest, and thrive ","Canadian consumer neobanking fintech with funding within band, serving unbanked consumers directly.",eval_base20b;eval_strict20,2026-09-05T06:43:30.175939+05:30,,,,,,,
caary.com,Caary Capital,,accept,Canada,Toronto,6,1900586,,2020,,"Caary is the business credit and spend management platform for Canada’s small and medium-sized enterprises. With Caary, SMEs get accessible credit with no personal guarantees, complete control over spending, and automated expense management.   The Caary Business Mastercard® comes with no card fees, ",Canadian SME fintech with self-serve card issuance and revenue within range; not a vendor or agency.,eval_angles20;eval_base20b;eval_or20;eval_strict20;eval_words20,2026-09-05T07:43:14.371898+05:30,,,,,,,
carouselgroup.net,Carousel Group,,accept,United States,New Jersey,5,,50000000,2018,,"Carousel Group is the operator of MaximBet, North America's first Lifestyle Sports Book & iGaming brand.   We take pride in our values, designed to benefit employees, customers, partners, the community and our shareholders. We strive to provide long-term job security and exciting career paths for al","US sports betting operator MaximBet with $50M funding, consumer self-serve signup, not an excluded vendor type.",eval_strict20,2026-09-05T06:54:59.046305+05:30,,,,,,,
creditspring.co.uk,Creditspring,Creditspring,accept,,,,,,,,,,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2,2026-09-05T07:00:09.905598+05:30,Neil Kadagathur,Co-Founder and CEO,https://linkedin.com/in/neil-kadagathur-30316767,reject:not-buyer,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato
creditspring.co.uk,Creditspring,Creditspring,accept,,,,,,,,,,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2,2026-09-05T07:00:09.905598+05:30,Puja Rohra,Head of Marketing,https://linkedin.com/in/puja-rohra-75687963,accept,"London, United Kingdom",verified,eval_basep;eval_profilep;eval_proof-ondato
creditspring.co.uk,Creditspring,Creditspring,accept,,,,,,,,,,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2,2026-09-05T07:00:09.905598+05:30,Sabrina Loi,Chief Product Officer,https://linkedin.com/in/sabrinaloi,accept,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2
cubefunder.com,Cubefunder,,accept,Canada,,29,2200000,,2017,,"Cubefunder is an SME fintech lender providing flexible business loans designed to support growing businesses across England and Wales.  We help turn business plans into action by offering fast, simple and accessible funding from £5,000 to £100,000. Whether you need support with cash flow, expansion,","Canadian SME lender with fast, simple funding process and revenue 2.2M USD within band.",eval_angles20,2026-09-05T07:46:02.65389+05:30,,,,,,,
dipseastories.com,Dipsea,,accept,United States,San Francisco,10,1000000,13699999,2018,,"Dipsea is the #1 app for audio erotica and more, designed from the female gaze—for everyone. Our library of 1,000+ sexy stories features your favorite tropes and irresistible characters to swoon over. Crafted by a diverse team of professional writers and brought to life by top-tier narrators, the Di","US-based audio erotica app with self-serve signup, $1M revenue and $13.7M funding fit the band.",eval_base20b;eval_words20,2026-09-05T06:37:09.148885+05:30,,,,,,,
dubapp.com,dub,,accept,United States,New York City,32,,54000000,2021,,"Founded by 23-year-old Harvard dropout Steven Wang, dub is a copy-trading investment platform with 1.5M+ downloads and $47M funding, democratizing access to investment strategies.   Operating through DASTA Inc.'s SEC-registered subsidiaries (dub Advisors LLC, investment adviser; DASTA Financial LLC,","US-based copy-trading app with one-tap consumer signup and $54M raised, fitting fintech/trading criteria.",eval_base20b,2026-09-05T06:46:32.957951+05:30,,,,,,,
emberfund.io,Ember,Ember,accept,United States,Venice,11,3000000,13380000,2018,,"Earn. Compete. Win. Invest. Repeat.  Ember is a Web3 superapp that empowers our almost 1 million users around the world to earn, play and invest. We've been featured in TechCrunch, Coindesk, The Block, Yahoo Finance, Reuters and more. With over $12M raised in venture, we are expanding our team. Come",US-based Web3 superapp with ~1M users and $13.38M funding fits consumer self-serve crypto platform.,eval_angles20;eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T07:46:02.65389+05:30,Alex W.,Co-Founder | CEO,https://linkedin.com/in/alex-w-2447b716,accept,"Los Angeles, United States",verified,eval_profilep;eval_sizep2
emberfund.io,Ember,Ember,accept,United States,Venice,11,3000000,13380000,2018,,"Earn. Compete. Win. Invest. Repeat.  Ember is a Web3 superapp that empowers our almost 1 million users around the world to earn, play and invest. We've been featured in TechCrunch, Coindesk, The Block, Yahoo Finance, Reuters and more. With over $12M raised in venture, we are expanding our team. Come",US-based Web3 superapp with ~1M users and $13.38M funding fits consumer self-serve crypto platform.,eval_angles20;eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T07:46:02.65389+05:30,Guillaume Torche,"Co-Founder, CTO",https://linkedin.com/in/guillaume-torche-4a209790,reject:not-buyer,"Los Angeles, United States",verified,eval_basep
emberfund.io,Ember,Ember,accept,United States,Venice,11,3000000,13380000,2018,,"Earn. Compete. Win. Invest. Repeat.  Ember is a Web3 superapp that empowers our almost 1 million users around the world to earn, play and invest. We've been featured in TechCrunch, Coindesk, The Block, Yahoo Finance, Reuters and more. With over $12M raised in venture, we are expanding our team. Come",US-based Web3 superapp with ~1M users and $13.38M funding fits consumer self-serve crypto platform.,eval_angles20;eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T07:46:02.65389+05:30,Hayden Todd,Head of Product & Design,https://linkedin.com/in/hayden-todd-a52194113,accept,"Los Angeles, United States",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
emberfund.io,Ember,Ember,accept,United States,Venice,11,3000000,13380000,2018,,"Earn. Compete. Win. Invest. Repeat.  Ember is a Web3 superapp that empowers our almost 1 million users around the world to earn, play and invest. We've been featured in TechCrunch, Coindesk, The Block, Yahoo Finance, Reuters and more. With over $12M raised in venture, we are expanding our team. Come",US-based Web3 superapp with ~1M users and $13.38M funding fits consumer self-serve crypto platform.,eval_angles20;eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T07:46:02.65389+05:30,Mario L.,Co-Founder,https://linkedin.com/in/mario-l-52603783,accept,"Los Angeles County, United States",verified,eval_basep
emberfund.io,Ember,Ember,accept,United States,Venice,11,3000000,13380000,2018,,"Earn. Compete. Win. Invest. Repeat.  Ember is a Web3 superapp that empowers our almost 1 million users around the world to earn, play and invest. We've been featured in TechCrunch, Coindesk, The Block, Yahoo Finance, Reuters and more. With over $12M raised in venture, we are expanding our team. Come",US-based Web3 superapp with ~1M users and $13.38M funding fits consumer self-serve crypto platform.,eval_angles20;eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T07:46:02.65389+05:30,Trishul Patel,Chief Product Officer,https://linkedin.com/in/trishul-patel-61b0a68,accept,"New York, United States",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
fluro.co.uk,Fluro,,accept,United Kingdom,London,48,5000000,232593639,2012,,"At Fluro, we build innovative, fair, and accessible finance solutions. We're pioneers of real rates, creating fast and transparent access to affordable credit for our customers and simple, fluid, and intuitive embedding lending options for our partners.  But that's just our literal output; a synopsi",UK embedded lender with revenue and funding within band; not a vendor or agency.,eval_angles20;eval_or20;eval_strict20;eval_words20,2026-09-05T07:39:24.347143+05:30,,,,,,,
fmpay.me,FMPAY,,,United Kingdom,Cheltenham,13,2000000,,2018,,"FMPay helps UK small businesses handle payments simply and securely. We keep things clear, reliable, and always have your back with real support when you need it.","UK SMB payments provider, self-serve style service, $2M revenue fits band, not a vendor or agency.",eval_or20,2026-09-05T07:12:05.68315+05:30,,,,,,,
getcrescent.com,Crescent Cares,Crescent Cares,accept,,,,,,,,,,eval_proof-ondato,2026-09-05T08:25:03.189259+05:30,Grant Roscoe,CEO & Founder,https://linkedin.com/in/grantroscoe,accept,"San Francisco, United States",verified,eval_proof-ondato
griffex.com,Griffex,,accept,United Kingdom,,4,29967909,,2018,,"Griffex is a marketplace for smart sale and purchase of cryptocurrencies, a flexible trading platform presenting an opportunity for seasoned investors, retail traders, and cryptocurrency enthusiasts at managing multi-currency investment portfolio.  We adore the flexibility of trading with multiple c","UK crypto marketplace for retail traders/enthusiasts, self-serve consumer platform; revenue $30M fits band.",eval_angles20;eval_or20;eval_words20,2026-09-05T07:39:24.347143+05:30,,,,,,,
jacvapour.com,JAC Vapour,,accept,United Kingdom,,4,5392791,,2010,,"Who are JAC?  JAC Vapour was born in Edinburgh in 2010 and, through the hard work of our product designers have grown to become one of the leading producers and retailers of e-cigarettes, globally. We’re not part of the herd, we do our own thing. And we only have person in mind when we design and de",UK vape retailer with online self-serve sales and revenue within band; no verification/agency/nonprofit indicators.,eval_base20b,2026-09-05T06:37:09.148885+05:30,,,,,,,
jigsaw.co,Jigsaw® Dating,,accept,United Kingdom,London,28,,4982050,2019,,A new dating experience for people ready to find a relationship. Come our events & get the app ♡,"UK dating app with self-serve signup, funding ~$5M within band, not an excluded business type.",eval_base20b;eval_words20,2026-09-05T06:46:32.957951+05:30,,,,,,,
joinneon.com,NEON MONEY CLUB,,accept,United States,New York,4,,4400000,2024,,"Acquired in 2025, Neon Money Club created the Lifestyle Finance category. It was the exclusive home of the Cream American Express Card.",US consumer credit-card lifestyle finance brand with $4.4M raised fits funding band and consumer signup criteria.,eval_or20;eval_strict20,2026-09-05T07:15:57.563725+05:30,,,,,,,
keebo.com,Keebo,,accept,United Kingdom,,1,1211111,,2019,,"Keebo is the credit card to start building credit, realise your limitless potential and go get it! ",UK consumer credit card fintech with self-serve signup; revenue $1.21M fits required band.,eval_angles20;eval_base20b;eval_or20;eval_strict20;eval_words20,2026-09-05T07:43:14.371898+05:30,,,,,,,
kikin.io,Kikin,,accept,United Kingdom,London,7,,20000000,2023,,"Pay suppliers faster, manage invoices, and extend cash for longer. Get access to funding without giving up equity, so that you can focus on growing your company.  We back companies committed to a better world with strong environmental, social, and governance ethics. This is why we reward sustainable","UK SMB invoice financing with self-serve 'get started in 5 minutes' signup, funding raised within qualifying band.",eval_words20,2026-09-05T07:20:49.917875+05:30,,,,,,,
killingkittens.com,Killing Kittens,Killing Kittens,accept,United Kingdom,London,11,,5953317,,,"Established in 2005 by Emma Sayle. Killing Kittens has grown to become one of the worlds leading brands in the adult industry. Killing Kittens runs events all over the world and the online platform has over 180,000 members.  We’re on a mission to liberate singles and couples, so they can let go of i","UK adult dating platform with 180k self-serve members and $5.95M funding, meeting location, sector and size criteria.",eval_base20b;eval_or20;eval_proof-ondato;eval_words20,2026-09-05T06:43:30.175939+05:30,Emma Sayle,Founder & CEO,https://linkedin.com/in/emmasayle,accept,"London, United Kingdom",verified,eval_proof-ondato
kontigo.lat,Kontigo (YC S24),Kontigo (YC S24),accept,United States,San Francisco,8,,27225000,2023,,USDC-Smart Neobank for Latinos. ,US-based neobank for consumers fits fintech category; funding $27.2M within required band.,eval_angles20;eval_base20b;eval_or20;eval_proof-ondato;eval_strict20;eval_words20,2026-09-05T07:46:02.65389+05:30,Gino Guatavita,Co-Founder & President,https://linkedin.com/in/gino-guatavita-7269139b,accept,"San Francisco, United States",verified,eval_proof-ondato
kontigo.lat,Kontigo (YC S24),Kontigo (YC S24),accept,United States,San Francisco,8,,27225000,2023,,USDC-Smart Neobank for Latinos. ,US-based neobank for consumers fits fintech category; funding $27.2M within required band.,eval_angles20;eval_base20b;eval_or20;eval_proof-ondato;eval_strict20;eval_words20,2026-09-05T07:46:02.65389+05:30,Jesus Castillo,CEO & Co-Founder,https://linkedin.com/in/jesus-castillo-81a58b186,accept,"San Francisco, United States",verified,eval_proof-ondato
koyoloans.com,Koyo,,accept,United Kingdom,London,2,3111111,131228455,2018,,"We do things differently around here. Only relying on credit checks is old fashioned, unfair and ineffective. So we thought we’d shake things up a bit.  We're hiring! See our jobs board for latest roles.   Koyo was founded in 2018, on the principle that people should be treated fairly when it comes ",UK-based consumer lender with revenue and funding within required bands.,eval_angles20;eval_or20;eval_strict20;eval_words20,2026-09-05T07:39:24.347143+05:30,,,,,,,
krypton.exchange,Krypton Labs,,accept,United States,Los Angeles,2,1000000,7000000,2022,,"Krypton is dedicated to the idea that functional markets are fair markets, where you can get the trade you want at a cost that makes sense. Our academic roots are the foundation of our novel approach to solving the challenges of building a decentralized financial system, and we’re proud to offer a t","US crypto DEX with revenue 1M, funding 7M within bands; mentions upcoming release suggesting near-term launch.",eval_angles20,2026-09-05T07:39:24.347143+05:30,,,,,,,
lemfi.com,LemFi,LemFi,accept,,,,,,,,,,eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20,2026-09-05T07:00:09.905598+05:30,Donal Whelan,CEO & Executive Director - LemFi Europe,https://linkedin.com/in/dowhelan,accept,"Ireland, Ireland",verified,eval_profilep;eval_proof-ondato
lendable.co.uk,Lendable,,accept,United Kingdom,,529,8200000,1611457994,2014,,"Lendable is a platform that makes borrowing money and saving money effortless; across loans, credit cards, car finance, utility bills, insurance, mobile contracts and more.  With an AI trained on a decade of proprietary data, Lendable takes a holistic view of each customer’s finances to expand acces",UK consumer lending platform with revenue within band despite high funding; no recent event details.,eval_or20,2026-09-05T07:15:57.563725+05:30,,,,,,,
lendwise.com,Lendwise,Lendwise,accept,,,,,,,,,,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2,2026-09-05T07:00:09.905598+05:30,Rishi Z.,Co-Founder & CEO,https://linkedin.com/in/rishi-z-2a22a7,accept,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep2
lfgdating.com,LFGdating,,accept,United States,chicago,2,3416972,,2012,,"LFGdating is the largest gamer dating platform on earth, available on the web, iOS, and Android.  LFGdating is a federally trademarked property of Glass Boot Ventures, LLC.",US-based gamer dating platform with self-serve web/app signup; revenue fits required band.,eval_base20b;eval_words20,2026-09-05T06:43:30.175939+05:30,,,,,,,
liberty-firearms.com,Liberty Firearms & Surplus,,accept,United States,Hopewell,2,35403213,,2008,,"At Liberty Firearms & Surplus, we are experiencing an extremely high volume of orders and requests. We appreciate your patience at this time, and want to assure you that your orders will be processed as quickly as possible and your customer service needs will be met in a timely manner.",US firearms/surplus retailer with high-volume orders online and revenue within qualifying range.,eval_base20b,2026-09-05T06:37:09.148885+05:30,,,,,,,
linkedfinance.com,Linked Finance,Linked Finance,accept,,,,,,,,,,eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20,2026-09-05T07:00:09.905598+05:30,John O'Neill,CEO and Co-founder,https://linkedin.com/in/johnroneill,accept,Ireland,verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato
linkedfinance.com,Linked Finance,Linked Finance,accept,,,,,,,,,,eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20,2026-09-05T07:00:09.905598+05:30,Peter O'Mahony,Founder,https://linkedin.com/in/peteromahony,accept,Ireland,verified,eval_profilep;eval_proof-ondato
liquify.digital,Liquify,,,United Kingdom,London,6,,3620000,2023,,"Invoice financing platform, helping SMEs across industries turn unpaid invoices into instant cash flow","London SME invoice financing platform with $3.62M raised, fitting funding band and SMB self-serve criteria.",eval_angles20;eval_base20b;eval_or20;eval_strict20;eval_words20,2026-09-05T07:43:14.371898+05:30,,,,,,,
makelovenotporn.tv,MakeLoveNotPorn,,accept,United States,New York City,8,,2000000,,,"MakeLoveNotPorn is Pro-sex. Pro-porn. Pro-knowing the difference. We’re the world's first user-generated, human-curated social sex video-sharing platform, celebrating #realworldsex as a counterpoint to porn, with the aim of socializing sex - making it easier for everyone to talk about, in order to p","US-based, adult self-serve video platform, $2M funding fits privately held band, not a vendor.",eval_base20b;eval_words20,2026-09-05T06:37:09.148885+05:30,,,,,,,
marqmillions.com,Marq Millions Ltd.,,accept,United Kingdom,,3,2100000,,2011,,"Our vision is clear: offer an alternative, inclusive banking solution to those consumers who are frustrated with the existing banking climate and outdated infrastructure. Marq Millions Ltd is licensed by the Financial Conduct Authority to offer financial services throughout Europe, joining other pre",UK FCA-licensed consumer banking alternative with revenue in range; no exclusion traits noted.,eval_angles20;eval_base20b;eval_or20;eval_proof-ondato;eval_strict20;eval_words20,2026-09-05T07:39:24.347143+05:30,,,,,,,
midnite.com,Midnite,Midnite,accept,United Kingdom,London,141,11300000,163641093,2015,,"Welcome to the future of betting.  Midnite is everything your current betting app isn’t, taking Sports & Casino into a new era.  For starters we’re not your grandad’s bookie, we’re putting an end to the era of old school betting apps that are crap to use and stuck in a rut. Instead of making another",UK sports/casino betting app with consumer signup; revenue and funding both fit required bands.,eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Daniel Qu,Founder,https://linkedin.com/in/danielq,reject:not-buyer,"London, United Kingdom",verified,eval_domainp;eval_profilep;eval_proof-ondato
midnite.com,Midnite,Midnite,accept,United Kingdom,London,141,11300000,163641093,2015,,"Welcome to the future of betting.  Midnite is everything your current betting app isn’t, taking Sports & Casino into a new era.  For starters we’re not your grandad’s bookie, we’re putting an end to the era of old school betting apps that are crap to use and stuck in a rut. Instead of making another",UK sports/casino betting app with consumer signup; revenue and funding both fit required bands.,eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Dave P.,Head of Product - Sportsbook Platforms,https://linkedin.com/in/dave-p-96694567,accept,"Harrogate, United Kingdom",verified,eval_domainp;eval_profilep;eval_sizep
midnite.com,Midnite,Midnite,accept,United Kingdom,London,141,11300000,163641093,2015,,"Welcome to the future of betting.  Midnite is everything your current betting app isn’t, taking Sports & Casino into a new era.  For starters we’re not your grandad’s bookie, we’re putting an end to the era of old school betting apps that are crap to use and stuck in a rut. Instead of making another",UK sports/casino betting app with consumer signup; revenue and funding both fit required bands.,eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Jonathan Shaw,"VP, Growth",https://linkedin.com/in/jonathan-shaw-26120118,accept,"London, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
midnite.com,Midnite,Midnite,accept,United Kingdom,London,141,11300000,163641093,2015,,"Welcome to the future of betting.  Midnite is everything your current betting app isn’t, taking Sports & Casino into a new era.  For starters we’re not your grandad’s bookie, we’re putting an end to the era of old school betting apps that are crap to use and stuck in a rut. Instead of making another",UK sports/casino betting app with consumer signup; revenue and funding both fit required bands.,eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Mike Laryea,Head of Product,https://linkedin.com/in/mike-laryea-96852025,accept,United Kingdom,verified,eval_basep;eval_domainp;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2
midnite.com,Midnite,Midnite,accept,United Kingdom,London,141,11300000,163641093,2015,,"Welcome to the future of betting.  Midnite is everything your current betting app isn’t, taking Sports & Casino into a new era.  For starters we’re not your grandad’s bookie, we’re putting an end to the era of old school betting apps that are crap to use and stuck in a rut. Instead of making another",UK sports/casino betting app with consumer signup; revenue and funding both fit required bands.,eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Nick Wright,Founder,https://linkedin.com/in/npearsonwright,reject:not-buyer,United Kingdom,verified,eval_domainp;eval_profilep;eval_proof-ondato
midnite.com,Midnite,Midnite,accept,United Kingdom,London,141,11300000,163641093,2015,,"Welcome to the future of betting.  Midnite is everything your current betting app isn’t, taking Sports & Casino into a new era.  For starters we’re not your grandad’s bookie, we’re putting an end to the era of old school betting apps that are crap to use and stuck in a rut. Instead of making another",UK sports/casino betting app with consumer signup; revenue and funding both fit required bands.,eval_base20b;eval_basep;eval_domainp;eval_or20;eval_profilep;eval_proof-ondato;eval_sizep;eval_sizep2;eval_strict20;eval_words20,2026-09-05T06:43:30.175939+05:30,Sam Talbot,VP Product,https://linkedin.com/in/sam-talbot-766a5530,accept,"Leeds, United Kingdom",verified,eval_basep;eval_domainp;eval_profilep;eval_sizep;eval_sizep2
millionairematch.com,Millionaire Match,,accept,United States,Mountain View,3,10000000,,2001,,"Millionaire Match is the largest millionaire dating serving only developed countries since 2001, and voted ""Best of the Web"" by Forbes.com. Millionaire Match has been catering to rich and high-quality singles for the past 20 years.   ","US dating site with self-serve signup, age-gated platform; revenue $10M fits band.",eval_words20,2026-09-05T07:31:11.208488+05:30,,,,,,,
